===== 변환 전 바이너리 데이터 (Offset: Hex | Binary) =====
[000] 12 | 00010010
[001] 34 | 00110100
[002] 02 | 00000010
[003] 03 | 00000011
[004] 04 | 00000100
[005] 05 | 00000101
[006] 06 | 00000110
[007] 07 | 00000111
[008] 00 | 00000000
[009] 55 | 01010101
[010] 00 | 00000000
[011] 78 | 01111000
[012] 0C | 00001100
[013] 0D | 00001101
[014] 0E | 00001110
[015] 0F | 00001111
[016] 10 | 00010000
[017] 11 | 00010001
[018] 12 | 00010010
[019] 13 | 00010011
[020] 14 | 00010100
[021] 15 | 00010101
[022] 16 | 00010110
[023] 17 | 00010111
[024] 18 | 00011000
[025] 19 | 00011001
[026] 1A | 00011010
[027] 1B | 00011011
[028] 1C | 00011100
[029] 1D | 00011101
[030] 1E | 00011110
[031] 1F | 00011111
[032] 20 | 00100000
[033] 21 | 00100001
[034] 22 | 00100010
[035] 23 | 00100011
[036] 24 | 00100100
[037] 25 | 00100101
[038] 26 | 00100110
[039] 27 | 00100111
[040] 28 | 00101000
[041] 29 | 00101001
[042] 2A | 00101010
[043] 2B | 00101011
[044] 32 | 00110010
[045] 1E | 00011110
[046] 2E | 00101110
[047] 2F | 00101111
[048] 30 | 00110000
[049] 31 | 00110001
[050] 32 | 00110010
[051] 33 | 00110011
[052] 34 | 00110100
[053] 35 | 00110101
[054] 36 | 00110110
[055] 37 | 00110111
[056] 38 | 00111000
[057] 39 | 00111001
[058] 3A | 00111010
[059] 3B | 00111011
[060] 3C | 00111100
[061] 3D | 00111101
[062] 3E | 00111110
[063] 3F | 00111111
[064] 40 | 01000000
[065] 41 | 01000001
[066] 42 | 01000010
[067] 43 | 01000011
[068] 44 | 01000100
[069] 45 | 01000101
[070] 46 | 01000110
[071] 47 | 01000111
[072] 48 | 01001000
[073] 49 | 01001001
[074] 4A | 01001010
[075] 4B | 01001011
[076] 4C | 01001100
[077] 4D | 01001101
[078] 4E | 01001110
[079] 4F | 01001111
[080] 50 | 01010000
[081] 51 | 01010001
[082] 52 | 01010010
[083] 53 | 01010011
[084] 54 | 01010100
[085] 55 | 01010101
[086] 56 | 01010110
[087] 57 | 01010111
[088] 58 | 01011000
[089] 59 | 01011001
[090] 5A | 01011010
[091] 5B | 01011011
[092] 5C | 01011100
[093] 5D | 01011101
[094] 5E | 01011110
[095] 5F | 01011111
[096] 60 | 01100000
[097] 61 | 01100001
[098] 62 | 01100010
[099] 63 | 01100011
[100] 64 | 01100100
[101] 65 | 01100101
[102] 66 | 01100110
[103] 67 | 01100111
[104] 68 | 01101000
[105] 69 | 01101001
[106] 6A | 01101010
[107] 6B | 01101011
[108] 6C | 01101100
[109] 6D | 01101101
[110] 6E | 01101110
[111] 6F | 01101111
[112] 70 | 01110000
[113] 71 | 01110001
[114] 72 | 01110010
[115] 73 | 01110011
[116] 74 | 01110100
[117] 75 | 01110101
[118] 76 | 01110110
[119] 77 | 01110111
[120] 78 | 01111000
[121] 79 | 01111001
[122] 7A | 01111010
[123] 7B | 01111011
[124] 7C | 01111100
[125] 7D | 01111101
[126] 7E | 01111110
[127] 7F | 01111111
[128] 80 | 10000000
[129] 81 | 10000001
[130] 82 | 10000010
[131] 83 | 10000011
[132] 84 | 10000100
[133] 85 | 10000101
[134] 86 | 10000110
[135] 87 | 10000111
[136] 88 | 10001000
[137] 89 | 10001001
[138] 8A | 10001010
[139] 8B | 10001011
[140] 8C | 10001100
[141] 8D | 10001101
[142] 8E | 10001110
[143] 8F | 10001111
[144] 90 | 10010000
[145] 91 | 10010001
[146] 92 | 10010010
[147] 93 | 10010011
[148] 94 | 10010100
[149] 95 | 10010101
[150] 96 | 10010110
[151] 97 | 10010111
[152] 98 | 10011000
[153] 99 | 10011001
[154] 9A | 10011010
[155] 9B | 10011011
[156] 9C | 10011100
[157] 9D | 10011101
[158] 9E | 10011110
[159] 9F | 10011111
[160] A0 | 10100000
[161] A1 | 10100001
[162] A2 | 10100010
