offset(byte),name(의미),size(bytes),설명,JSON 변환 이름의 의미,,,,,,,,
0,sequence counter,2 ,Sequence Counter(1~65535),일련번호,,,,,,,,
2,년(YY),1 ,(BCD) 00~99,시간정보,,,,,,,,
3,월(MM),1 ,(BCD) 01~12,시간정보,,,,,,,,
4,일(DD),1 ,(BCD) 01~31,시간정보,,,,,,,,
5,시(hh),1 ,(BCD) 00~23,시간정보,,,,,,,,
6,분(mm),1 ,(BCD) 00~59,시간정보,,,,,,,,
7,초(ss),1 ,(BCD) 00~59,시간정보,,,,,,,,
8,speed,2 ,속도(0~255Km/h) /  Big Endian,속도,,,,,,,,
10,atc_target_speed,2 ,ATC 목표 속도(0~255Km/h) / Big Endian,ATC 목표속도,,,,,,,,
12,inter_acc_distance,2 ,역간 적산 거리(5m/bit),역간 적산 거리,,,,,,,,
14,atc_code,1 ,,ATC 코드,,,,,,,,
15,ats_code,1 ,,ATS 코드,,,,,,,,
16,atc_ats_mode,1 ,bit0(ATC모드) bit1(ATS모드) bit2(ATC이중계활성화) bit6(stop_proceed_mdoe) bit7(yard_mode),ATC ATS 플래그,,,,,,,,
17,고장 상하선 정보,1 ,bit0(고장Clear) bit1(고장Set) bit6(하선정보) bit7(상선정보),고장 상하선 정보 플래그,,,,,,,,
18,car_No_special,1 ,"[ASCII] [CONCAT] 아스키 문자 매핑 (예: 75 -> K)",열차 ID,,,,,,,,
19,열차 번호(XXXX),2 ,"[BCD] [CONCAT] BCD포맷 4자리 숫자",열차 ID,,,,,,,,
21,예비,1 ,,열차 ID,,,,,,,,
22,다음역 코드,1 ,,다음역 코드,,,,,,,,
23,종착역 코드,1 ,,종착역 코드,,,,,,,,
24,1호차 AC 가선 전압,2 ,"Big Endian / AC 가선 전압(VE) / (0 ~ 30,000Vrms)",호차별 AC 가선 전압,,,,,,,,
26,2호차 AC 가선 전압,2 ,"Big Endian / AC 가선 전압(VE) / (0 ~ 30,000Vrms)",호차별 AC 가선 전압,,,,,,,,
28,4호차 AC 가선 전압,2 ,"Big Endian / AC 가선 전압(VE) / (0 ~ 30,000Vrms)",호차별 AC 가선 전압,,,,,,,,
30,7호차 AC 가선 전압,2 ,"Big Endian / AC 가선 전압(VE) / (0 ~ 30,000Vrms)",호차별 AC 가선 전압,,,,,,,,
32,8호차 AC 가선 전압,2 ,"Big Endian / AC 가선 전압(VE) / (0 ~ 30,000Vrms)",호차별 AC 가선 전압,,,,,,,,
34,1호차 DC 가선 전압,2 ,"Big Endian / DC 가선 전압(VE) / (0 ~ 2,500V)",호차별 AC 가선 전압,,,,,,,,
36,2호차 DC 가선 전압,2 ,"Big Endian / DC 가선 전압(VE) / (0 ~ 2,500V)",호차별 AC 가선 전압,,,,,,,,
38,4호차 DC 가선 전압,2 ,"Big Endian / DC 가선 전압(VE) / (0 ~ 2,500V)",호차별 AC 가선 전압,,,,,,,,
40,7호차 DC 가선 전압,2 ,"Big Endian / DC 가선 전압(VE) / (0 ~ 2,500V)",호차별 AC 가선 전압,,,,,,,,
42,8호차 DC 가선 전압,2 ,"Big Endian / DC 가선 전압(VE) / (0 ~ 2,500V)",호차별 AC 가선 전압,,,,,,,,
44,역행,1 ,역행(0~100%),역행율,,,,,,,,
45,제동,1 ,제동(0~100%),제동률,,,,,,,,
46,0호차 탑승률(0~200%/0x00~0xC8),1 ,0호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
47,1호차 탑승률(0~200%/0x00~0xC8),1 ,1호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
48,2호차 탑승률(0~200%/0x00~0xC8),1 ,2호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
49,3호차 탑승률(0~200%/0x00~0xC8),1 ,3호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
50,4호차 탑승률(0~200%/0x00~0xC8),1 ,4호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
51,5호차 탑승률(0~200%/0x00~0xC8),1 ,5호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
52,6호차 탑승률(0~200%/0x00~0xC8),1 ,6호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
53,7호차 탑승률(0~200%/0x00~0xC8),1 ,7호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
54,8호차 탑승률(0~200%/0x00~0xC8),1 ,8호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
55,9호차 탑승률(0~200%/0x00~0xC8),1 ,9호차 탑승률(0~200%/0x00~0xC8),탑승률,,,,,,,,
56,HCR_TCR_Master,1 ,bit0(0호차 HCR) bit1(9호차HCR) bit2(0호차 TCR) bit3(9호차 TCR) bit4(Master ID),HCR TCR 플래그,,,,,,,,
57,제동관련,1 ,bit0(데드맨 멀티부저) bit1(ATS ATC절연구간 검지) bit2(ScBS) bit3(PAR) bit5(EBR1) bit6(EBR2),제동관련 플래그,,,,,,,,
58,화재감지,2 ,bit0(0호차) ~ bit9(9호차),호차별 화재감지,,,,,,,,
60,1번 비상 인터폰 감지,2 ,bit0(0호차) ~ bit9(9호차),호차별 비상 인터폰,,,,,,,,
62,2번 비상 인터폰 감지,2 ,bit0(0호차) ~ bit9(9호차),호차별 비상 인터폰,,,,,,,,
64,예비,1 ,,,,,,,,,,
